id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29036381,Rental unit in Newark · ★4.28 · 3 bedrooms · 3 beds · 1 bath,24815236,Mario,,West,40.74494,-74.19753,Entire home/apt,117,7,18,2023-11-01,0.29,27,334,3,
29131423,Rental unit in Newark · ★4.40 · 3 bedrooms · 5 beds · 1 bath,79153497,Natalie,,East,40.72825,-74.15061,Entire home/apt,354,1,10,2022-08-29,0.16,9,85,0,
29608114,Rental unit in Newark · ★4.60 · 2 bedrooms · 5 beds · 1 bath,48869670,Andres,,East,40.733,-74.16346,Entire home/apt,135,5,95,2023-12-13,1.52,6,158,23,
29783051,Home in Newark · ★4.41 · 2 bedrooms · 5 beds · 1 bath,79153497,Natalie,,East,40.72625,-74.15053,Entire home/apt,164,4,29,2023-12-28,0.50,9,87,15,
29854821,Home in Newark · ★4.87 · 4 bedrooms · 4 beds · 2 baths,73456197,Ray,,East,40.72138,-74.15348,Entire home/apt,247,1,103,2023-04-14,1.66,6,80,2,
30011132,Condo in Newark · ★4.63 · 3 bedrooms · 4 beds · 2.5 baths,173237547,M&M Development LLC,,East,40.73057,-74.16688,Entire home/apt,314,2,24,2023-12-12,0.40,1,362,8,
30133954,Home in Newark · 1 bedroom · 1 bed · 1 shared bath,75659322,Maxine,,South,40.70282,-74.21049,Private room,50,5,2,2021-07-04,0.04,1,363,0,
30270131,Home in Newark · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,212693162,Kingsley,,Central,40.74744,-74.18772,Private room,115,1,81,2023-07-20,1.32,36,88,3,
30270303,Home in Newark · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,212693162,Kingsley,,Central,40.74706,-74.18795,Private room,105,4,112,2022-05-16,1.81,36,88,0,
30270475,Home in Newark · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,212693162,Kingsley,,Central,40.74753,-74.188,Private room,105,1,205,2023-11-07,3.32,36,88,5,
30274787,Home in Newark · ★4.76 · 1 bedroom · 1 bed · 1 private bath,212693162,Kingsley,,Central,40.74849,-74.18971,Private room,95,1,135,2023-08-06,2.18,36,89,1,
30444387,Rental unit in Newark · ★4.75 · 3 bedrooms · 6 beds · 2 baths,148995953,Carolyn,,Central,40.727703,-74.17466,Entire home/apt,167,14,53,2023-12-12,0.86,3,358,4,
30510446,Rental unit in Newark · ★4.96 · 1 bedroom · 3 beds · 1 bath,186328264,Said & Sue-Ann,,Central,40.73323,-74.17506,Entire home/apt,211,3,150,2023-12-11,2.45,7,361,23,
30696683,Townhouse in Newark · ★4.67 · 1 bedroom · 1 bed · 1.5 shared baths,216631614,Sam,,Central,40.72865,-74.17506,Private room,33,1,198,2023-12-21,3.23,6,350,67,
30983145,Townhouse in Newark · ★4.45 · 1 bedroom · 1 bed · 3 baths,216631614,Sam,,Central,40.72865,-74.17506,Private room,43,1,271,2023-12-18,4.43,6,304,34,
31190503,Rental unit in Newark · ★4.82 · 3 bedrooms · 3 beds · 1 bath,77103759,Shad,,South,40.70908,-74.21459,Entire home/apt,225,1,33,2022-06-26,0.54,6,85,0,
31191998,Rental unit in Newark · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,77103759,Shad,,South,40.7093,-74.21331,Private room,55,2,230,2023-12-17,3.77,6,0,39,
31192307,Rental unit in Newark · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,77103759,Shad,,South,40.70813,-74.21329,Private room,62,1,179,2023-12-08,2.94,6,86,40,
31192461,Rental unit in Newark · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,77103759,Shad,,South,40.70822,-74.21369,Private room,58,1,179,2023-12-16,2.94,6,86,28,
31294964,Townhouse in Newark · ★4.90 · 1 bedroom · 1 bed · 1 bath,191002790,Jermaine,,Central,40.73994,-74.18256,Entire home/apt,96,1,111,2023-12-24,1.84,1,35,37,
31546014,Rental unit in Newark · ★5.0 · 1 bedroom · 1 bed · 1 private bath,236445359,Edinea,,East,40.72358,-74.16859,Private room,77,3,15,2022-01-01,0.26,2,119,0,
31689764,Home in Newark · ★4.44 · 3 bedrooms · 5 beds · 1.5 baths,237637896,Deborah,,Central,40.73484,-74.19612,Entire home/apt,189,3,41,2023-12-02,0.71,1,365,5,
31824576,Rental unit in Newark · ★4.72 · Studio · 1 bed · 1 bath,238501905,Ruy,,East,40.73275,-74.16289,Entire home/apt,90,1,173,2023-12-18,2.92,6,289,66,
31854399,Rental unit in Newark · ★4.62 · Studio · 2 beds · 1 bath,238501905,Ruy,,East,40.733395,-74.163422,Entire home/apt,93,1,183,2023-12-26,3.09,6,0,35,
31858311,Rental unit in Newark · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,77103759,Shad,,South,40.70995,-74.2136,Private room,58,1,171,2023-12-16,2.87,6,363,46,
32044420,Rental unit in Newark · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,113535634,Gloria,,North,40.77146,-74.17926,Private room,45,7,52,2023-12-23,0.88,3,173,12,
32072138,Rental unit in Newark · ★4.88 · 1 bedroom · 2 beds · 1 bath,193718645,Lh Augustin,,Central,40.73327,-74.17505,Entire home/apt,205,2,232,2023-11-27,3.91,4,264,29,
32166333,Rental unit in Newark · ★4.78 · 1 bedroom · 1 bed · 1 private bath,113535634,Gloria,,North,40.77284,-74.17916,Private room,53,7,45,2023-12-10,0.76,3,159,13,
32491309,Rental unit in Newark · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,113535634,Gloria,,North,40.7714,-74.17952,Private room,42,7,60,2023-11-28,1.02,3,177,18,
32936593,Guesthouse in Newark · ★4.70 · 1 bedroom · 3 beds · 1 shared bath,247824262,Yuki Mark,,East,40.73237,-74.16385,Private room,61,1,139,2023-12-12,2.42,8,161,39,
33015170,Guesthouse in Newark · ★4.73 · 1 bedroom · 4 beds · 1 private bath,247824262,Yuki Mark,,East,40.7329,-74.16464,Private room,58,1,139,2023-11-21,2.40,8,0,32,
33169957,Guesthouse in Newark · ★4.80 · 1 bedroom · 3 beds · 1 shared bath,247824262,Yuki Mark,,East,40.73177,-74.16328,Private room,62,1,85,2023-12-08,1.46,8,173,44,
33291039,Rental unit in Newark · ★4.84 · 1 bedroom · 2 beds · 1 bath,180030556,Ana,,East,40.72456,-74.17067,Entire home/apt,106,1,317,2023-12-08,5.48,2,0,45,
33320248,Rental unit in Newark · ★5.0 · 1 bedroom · 3 beds · 1 shared bath,251002137,Gabriela & Diego,,East,40.72872,-74.16592,Private room,55,2,4,2020-01-01,0.07,1,177,0,
33455950,Home in Newark · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,212693162,Kingsley,,Central,40.7472,-74.18767,Private room,76,1,114,2022-11-10,1.97,36,179,0,
33499024,Home in Newark · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,212693162,Kingsley,,Central,40.74725,-74.18823,Private room,105,1,102,2023-04-17,1.77,36,179,3,
33544189,Home in Newark · ★4.78 · 3 bedrooms · 6 beds · 1 bath,79153497,Natalie,,East,40.72836,-74.15251,Entire home/apt,183,2,32,2023-12-12,0.56,9,87,12,
33561634,Guesthouse in Newark · ★4.82 · 1 bedroom · 3 beds · 1 shared bath,247824262,Yuki Mark,,East,40.72917,-74.1584,Private room,55,1,98,2023-12-10,1.71,8,0,30,
33561793,Guesthouse in Newark · ★4.71 · 1 bedroom · 3 beds · 1 shared bath,247824262,Yuki Mark,,East,40.72933,-74.15846,Private room,62,1,110,2023-12-13,1.92,8,171,32,
33674916,Home in Newark · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,212693162,Kingsley,,Central,40.74682,-74.18978,Private room,120,2,56,2023-07-30,0.97,36,180,1,
34088245,Townhouse in Newark · ★4.89 · 1 bedroom · 1 bed · 1.5 shared baths,257405231,Rebecca,,Central,40.74044,-74.1824,Private room,71,2,134,2023-12-16,2.36,1,347,50,
34206958,Home in Newark · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,212693162,Kingsley,,Central,40.74512,-74.18962,Private room,102,4,118,2023-10-16,2.07,36,365,14,
34307253,Home in Newark · ★4.49 · 1 bedroom · 1 bed · 1 shared bath,212693162,Kingsley,,Central,40.7394,-74.19182,Private room,91,4,120,2023-09-13,2.12,36,364,5,
34480668,Home in Newark · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,212693162,Kingsley,,Central,40.74584,-74.1868,Private room,105,2,122,2023-10-23,2.15,36,364,8,
34973148,Home in Newark · ★4.77 · 1 bedroom · 1 bed · 1 private bath,149529156,William,,South,40.70417,-74.21617,Private room,92,3,35,2022-07-27,0.65,1,177,0,
35968133,Rental unit in Newark · ★5.0 · 1 bedroom · 3 beds · 1 bath,270556210,Rick,,West,40.74385,-74.2355,Entire home/apt,65,2,8,2020-03-27,0.17,1,0,0,
36934517,Home in Newark · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,36265155,Yoko,,Central,40.72776,-74.18042,Private room,38,7,84,2023-12-27,1.56,4,88,12,
